novel_ORF	overlapping_gene_id	overlapping_transcript	overlapping_gene_name	surrounding_gene_ids	surrounding_transcripts	surrounding_gene_names
MSTRG.3883_105967583_105967645_20	ENSG00000149313.6,ENSG00000254433.1	ENSG00000149313.6,ENSG00000254433.1	AASDHPPT,RP11-677I18.3	,	,	,
ENSG00000137760.10_107436448_107436392_18	ENSG00000137760.10	ENSG00000137760.10	ALKBH8			
MSTRG.3890_107729493_107682514_38	ENSG00000110660.10	ENSG00000110660.10	SLC35F2			
MSTRG.3890_107729493_107711476_36	ENSG00000110660.10	ENSG00000110660.10	SLC35F2			
MSTRG.3921_107879843_107880088_81	ENSG00000166266.9	ENSG00000166266.9	CUL5			
MSTRG.3921_107879767_107879874_35	ENSG00000166266.9	ENSG00000166266.9	CUL5			
MSTRG.3924_107992334_108009716_141	ENSG00000255467.1,ENSG00000075239.9	ENSG00000255467.1,ENSG00000075239.9	RP11-144G7.2,ACAT1	,	,	,
ENSG00000149308.12_108093263_108058834_211	ENSG00000149308.12,ENSG00000149311.13	ENSG00000149308.12,ENSG00000149311.13	NPAT,ATM	,	,	,
ENSG00000149311.13_108093699_108098322_71	ENSG00000149311.13	ENSG00000149311.13	ATM	ENSG00000149308.12,	ENSG00000149308.12,	NPAT,
ENSG00000204381.7_111411469_111414690_75	ENSG00000204381.7	ENSG00000204381.7	LAYN			
MSTRG.3964_111946299_111946385_28	ENSG00000150776.13	ENSG00000150776.13	C11orf57			
MSTRG.3915_113644388_113628561_135	ENSG00000086827.4,ENSG00000257070.1,ENSG00000256603.1	ENSG00000086827.4,ENSG00000257070.1,ENSG00000256603.1	ZW10,RP11-667M19.4,RP11-667M19.2	,,	,,	,,
ENSG00000048028.7_113701637_113691035_155	ENSG00000048028.7,ENSG00000256452.1,ENSG00000255710.2	ENSG00000048028.7,ENSG00000256452.1,ENSG00000255710.2	USP28,RP11-667M19.10,RP11-667M19.9	,,	,,	,,
ENSG00000048028.7_113746223_113705999_194	ENSG00000048028.7,ENSG00000201687.1	ENSG00000048028.7,ENSG00000201687.1	USP28,RNU6-1107P	,	,	,
MSTRG.3932_114167163_114167186_7	ENSG00000256947.1,ENSG00000166741.3	ENSG00000256947.1,ENSG00000166741.3	RP11-64D24.2,NNMT	,	,	,
MSTRG.3972_114316754_114316813_19	ENSG00000076043.5	ENSG00000076043.5	REXO2			
MSTRG.3934_115375112_115111137_67	ENSG00000182985.12,ENSG00000256972.1,ENSG00000255580.1,ENSG00000256315.1	ENSG00000182985.12,ENSG00000256972.1,ENSG00000255580.1,ENSG00000256315.1	CADM1,AP000462.3,AP000462.2,AP000462.1	,,,	,,,	,,,
MSTRG.3920_116643619_116640913_35	ENSG00000137656.7	ENSG00000137656.7	BUD13	,ENSG00000226645.1	,ENSG00000226645.1	,AP006216.10
MSTRG.3984_116658706_116658353_49	ENSG00000109917.6	ENSG00000109917.6	ZNF259			
ENSG00000160584.11_116968957_116798075_141	ENSG00000160584.11,ENSG00000264344.1,ENSG00000200537.1,ENSG00000234268.1	ENSG00000160584.11,ENSG00000264344.1,ENSG00000200537.1,ENSG00000234268.1	SIK3,AP000936.2,RNY4P6,AP000936.1	,,,	,,,	,,,
MSTRG.3940_117101117_117100560_21	ENSG00000160613.8	ENSG00000160613.8	PCSK7			
MSTRG.3943_117186814_117186743_23	ENSG00000186318.12,ENSG00000110274.10	ENSG00000186318.12,ENSG00000110274.10	BACE1,CEP164	,,ENSG00000250699.1	,,ENSG00000250699.1	,,AP000892.4
MSTRG.3975_117691397_117690940_54	ENSG00000137731.9,ENSG00000254844.3,ENSG00000255245.3	ENSG00000137731.9,ENSG00000254844.3,ENSG00000255245.3	FXYD2,RP11-728F11.3,FXYD6-FXYD2	,,	,,	,,
MSTRG.3975_117710502_117691387_35	ENSG00000137731.9,ENSG00000254844.3,ENSG00000255245.3,ENSG00000254528.3,ENSG00000137726.11	ENSG00000137731.9,ENSG00000254844.3,ENSG00000255245.3,ENSG00000254528.3,ENSG00000137726.11	FXYD2,RP11-728F11.3,FXYD6-FXYD2,RP11-728F11.4,FXYD6	,,,,	,,,,	,,,,
MSTRG.3975_117713491_117710517_95	ENSG00000255245.3,ENSG00000137726.11	ENSG00000255245.3,ENSG00000137726.11	FXYD6-FXYD2,FXYD6	,	,	,
MSTRG.3975_117713491_117708979_90	ENSG00000255245.3,ENSG00000254528.3,ENSG00000137726.11	ENSG00000255245.3,ENSG00000254528.3,ENSG00000137726.11	FXYD6-FXYD2,RP11-728F11.4,FXYD6	,,	,,	,,
MSTRG.3975_117713491_117711020_90	ENSG00000255245.3,ENSG00000137726.11	ENSG00000255245.3,ENSG00000137726.11	FXYD6-FXYD2,FXYD6	,	,	,
MSTRG.4012_118657157_118657074_27	ENSG00000110367.7	ENSG00000110367.7	DDX6			
MSTRG.3956_118955744_118959503_81	ENSG00000256269.2	ENSG00000256269.2	HMBS			
MSTRG.3956_118963099_118963311_70	ENSG00000256269.2	ENSG00000256269.2	HMBS			
MSTRG.4010_118965399_118965172_75	ENSG00000188486.3	ENSG00000188486.3	H2AFX			
MSTRG.4006_118972365_118971541_57	ENSG00000172269.12	ENSG00000172269.12	DPAGT1			
MSTRG.4006_118972365_118972201_54	ENSG00000172269.12	ENSG00000172269.12	DPAGT1			
MSTRG.4006_118972365_118971582_95	ENSG00000172269.12	ENSG00000172269.12	DPAGT1			
MSTRG.4006_118971098_118969109_71	ENSG00000172269.12	ENSG00000172269.12	DPAGT1			
MSTRG.3983_119185598_119185402_37	ENSG00000076706.10	ENSG00000076706.10	MCAM			
MSTRG.3983_119182045_119181796_51	ENSG00000076706.10	ENSG00000076706.10	MCAM			
MSTRG.3983_119185923_119185191_149	ENSG00000076706.10	ENSG00000076706.10	MCAM			
MSTRG.3997_119293911_119291012_57	ENSG00000245248.3,ENSG00000154096.9	ENSG00000245248.3,ENSG00000154096.9	USP2-AS1,THY1	,	,	,
MSTRG.3994_119265849_119369329_83	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	USP2-AS1,RP11-334E6.2,RP11-334E6.4,THY1,RP11-334E6.12,DUXAP5	,,,,,	,,,,,	,,,,,
MSTRG.3994_119252593_119379831_68	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	USP2-AS1,RP11-334E6.2,RP11-334E6.4,THY1,RP11-334E6.12,DUXAP5	ENSG00000036672.11,ENSG00000254740.2,,,,,,	ENSG00000036672.11,ENSG00000254740.2,,,,,,	USP2,RP11-334E6.3,,,,,,
MSTRG.3994_119252593_119369369_85	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	USP2-AS1,RP11-334E6.2,RP11-334E6.4,THY1,RP11-334E6.12,DUXAP5	ENSG00000036672.11,ENSG00000254740.2,,,,,,	ENSG00000036672.11,ENSG00000254740.2,,,,,,	USP2,RP11-334E6.3,,,,,,
MSTRG.3994_119265849_119346178_96	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	ENSG00000245248.3,ENSG00000254590.1,ENSG00000254892.1,ENSG00000154096.9,ENSG00000263873.1,ENSG00000255377.1	USP2-AS1,RP11-334E6.2,RP11-334E6.4,THY1,RP11-334E6.12,DUXAP5	,,,,,	,,,,,	,,,,,
MSTRG.4003_119599503_119599462_13	ENSG00000110400.6	ENSG00000110400.6	PVRL1			
ENSG00000137699.12_119999457_119999157_30	ENSG00000137699.12	ENSG00000137699.12	TRIM29			
ENSG00000137699.12_119999457_119999404_17	ENSG00000137699.12	ENSG00000137699.12	TRIM29			
MSTRG.4013_120347421_120347941_16	ENSG00000196914.4	ENSG00000196914.4	ARHGEF12			
ENSG00000154127.5_122526565_122646977_134	ENSG00000154127.5,ENSG00000239079.1	ENSG00000154127.5,ENSG00000239079.1	UBASH3B,snoU13	,	,	,
ENSG00000154127.5_122526758_122598249_62	ENSG00000154127.5,ENSG00000239079.1	ENSG00000154127.5,ENSG00000239079.1	UBASH3B,snoU13	,	,	,
MSTRG.4016_122929517_122929263_84	ENSG00000109971.9	ENSG00000109971.9	HSPA8	,ENSG00000200879.1,ENSG00000207118.1	,ENSG00000200879.1,ENSG00000207118.1	,SNORD14E,SNORD14D
ENSG00000254667.1_123301501_123306175_135	ENSG00000254667.1	ENSG00000254667.1	AP000783.1			
MSTRG.4019_124492822_124492887_21	ENSG00000154144.8	ENSG00000154144.8	TBRG1			
MSTRG.4019_124492939_124492983_14	ENSG00000154144.8	ENSG00000154144.8	TBRG1			
MSTRG.4020_124539344_124530690_32	ENSG00000110013.8	ENSG00000110013.8	SIAE			
MSTRG.4017_124609981_124615620_78	ENSG00000154146.8,ENSG00000255045.1	ENSG00000154146.8,ENSG00000255045.1	NRGN,RP11-677M14.2	,	,	,
ENSG00000149564.7_124632099_124626171_68	ENSG00000149564.7,ENSG00000250073.2	ENSG00000149564.7,ENSG00000250073.2	ESAM,RP11-677M14.3	,	,	,
ENSG00000154134.10_124747448_124747522_24	ENSG00000154134.10	ENSG00000154134.10	ROBO3			
ENSG00000154134.10_124748602_124749390_90	ENSG00000154134.10	ENSG00000154134.10	ROBO3			
MSTRG.4023_124967608_124967552_18	ENSG00000150433.5	ENSG00000150433.5	TMEM218			
MSTRG.4024_125439367_125439435_22	ENSG00000149547.10	ENSG00000149547.10	EI24			
MSTRG.4024_125439367_125442405_31	ENSG00000149547.10,ENSG00000254671.1	ENSG00000149547.10,ENSG00000254671.1	EI24,STT3A-AS1	,	,	,
MSTRG.4024_125446203_125447642_28	ENSG00000149547.10,ENSG00000254671.1	ENSG00000149547.10,ENSG00000254671.1	EI24,STT3A-AS1	,	,	,
MSTRG.4024_125453444_125453578_44	ENSG00000149547.10,ENSG00000254671.1	ENSG00000149547.10,ENSG00000254671.1	EI24,STT3A-AS1	,	,	,
MSTRG.4027_125462771_125462800_9	ENSG00000134910.8	ENSG00000134910.8	STT3A	ENSG00000254671.1,	ENSG00000254671.1,	STT3A-AS1,
MSTRG.4027_125496664_125497518_22	ENSG00000149554.8	ENSG00000149554.8	CHEK1			
MSTRG.4047_126081705_126104925_41	ENSG00000197798.4,ENSG00000222067.1	ENSG00000197798.4,ENSG00000222067.1	FAM118B,RNU4-86P	ENSG00000165526.4,,	ENSG00000165526.4,,	RPUSD4,,
MSTRG.4047_126081705_126103546_51	ENSG00000197798.4,ENSG00000222067.1	ENSG00000197798.4,ENSG00000222067.1	FAM118B,RNU4-86P	ENSG00000165526.4,,	ENSG00000165526.4,,	RPUSD4,,
MSTRG.4047_126081705_126099221_40	ENSG00000197798.4,ENSG00000222067.1	ENSG00000197798.4,ENSG00000222067.1	FAM118B,RNU4-86P	ENSG00000165526.4,,	ENSG00000165526.4,,	RPUSD4,,
MSTRG.4051_126142575_126144847_84	ENSG00000110074.6	ENSG00000110074.6	FOXRED1			
MSTRG.4051_126144847_126144954_35	ENSG00000110074.6	ENSG00000110074.6	FOXRED1			
MSTRG.4051_126145224_126145373_49	ENSG00000110074.6	ENSG00000110074.6	FOXRED1			
MSTRG.4051_126139102_126142416_42	ENSG00000110074.6	ENSG00000110074.6	FOXRED1	ENSG00000182934.7,	ENSG00000182934.7,	SRPR,
MSTRG.4051_126139102_126145246_185	ENSG00000110074.6	ENSG00000110074.6	FOXRED1	ENSG00000182934.7,	ENSG00000182934.7,	SRPR,
MSTRG.4051_126139102_126141194_54	ENSG00000110074.6	ENSG00000110074.6	FOXRED1	ENSG00000182934.7,	ENSG00000182934.7,	SRPR,
MSTRG.4031_126160396_126160699_28	ENSG00000150455.9	ENSG00000150455.9	TIRAP			
MSTRG.4035_126276051_126278206_126	ENSG00000110080.14	ENSG00000110080.14	ST3GAL4			
ENSG00000174370.5_128774504_128774424_26	ENSG00000120457.7,ENSG00000174370.5	ENSG00000120457.7,ENSG00000174370.5	KCNJ5,C11orf45	,	,	,
ENSG00000170325.10_129785579_129782065_131	ENSG00000170325.10	ENSG00000170325.10	PRDM10			
ENSG00000170325.10_129830975_129830895_26	ENSG00000170325.10	ENSG00000170325.10	PRDM10			
ENSG00000170325.10_129785579_129775630_175	ENSG00000170325.10	ENSG00000170325.10	PRDM10			
MSTRG.4058_129939791_129939856_21	ENSG00000267981.1,ENSG00000084234.12	ENSG00000267981.1,ENSG00000084234.12	AP003041.2,APLP2	,	,	,
MSTRG.4058_129939873_129990615_39	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	AP003041.2,APLP2,AP003041.1,RPL34P21	,,,	,,,	,,,
MSTRG.4058_129939873_129970167_35	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	AP003041.2,APLP2,AP003041.1,RPL34P21	,,,	,,,	,,,
MSTRG.4058_129939873_129979364_25	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	AP003041.2,APLP2,AP003041.1,RPL34P21	,,,	,,,	,,,
MSTRG.4058_129939873_129979463_19	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	ENSG00000267981.1,ENSG00000084234.12,ENSG00000215565.2,ENSG00000244451.1	AP003041.2,APLP2,AP003041.1,RPL34P21	,,,	,,,	,,,
MSTRG.4058_129980519_129990607_14	ENSG00000084234.12	ENSG00000084234.12	APLP2			
MSTRG.4053_130184552_130184421_43	ENSG00000196323.7	ENSG00000196323.7	ZBTB44	,ENSG00000175773.8	,ENSG00000175773.8	,RP11-121M22.1
MSTRG.4061_130786264_130786208_18	ENSG00000120451.6	ENSG00000120451.6	SNX19			
MSTRG.4061_130780218_130776611_59	ENSG00000120451.6	ENSG00000120451.6	SNX19			
MSTRG.4070_134046267_134038878_45	ENSG00000151503.8,ENSG00000254616.1	ENSG00000151503.8,ENSG00000254616.1	NCAPD3,RP11-700F16.2	,	,	,
MSTRG.4070_134094411_134094235_58	ENSG00000151503.8	ENSG00000151503.8	NCAPD3	,ENSG00000151502.6	,ENSG00000151502.6	,VPS26B
MSTRG.4073_134094842_134095081_79	ENSG00000151503.8,ENSG00000151502.6	ENSG00000151503.8,ENSG00000151502.6	NCAPD3,VPS26B	,	,	,
MSTRG.4070_134093820_134080340_75	ENSG00000151503.8	ENSG00000151503.8	NCAPD3			
MSTRG.4062_134122865_134122779_28	ENSG00000151500.10	ENSG00000151500.10	THYN1			
MSTRG.4063_134123495_134127082_69	ENSG00000151498.7	ENSG00000151498.7	ACAD8	ENSG00000151500.10,	ENSG00000151500.10,	THYN1,
MSTRG.4063_134123495_134128429_76	ENSG00000151498.7	ENSG00000151498.7	ACAD8	ENSG00000151500.10,	ENSG00000151500.10,	THYN1,
MSTRG.4063_134123495_134128425_41	ENSG00000151498.7	ENSG00000151498.7	ACAD8	ENSG00000151500.10,	ENSG00000151500.10,	THYN1,
MSTRG.4076_134217241_134229459_95	ENSG00000149328.10	ENSG00000149328.10	GLB1L2			
MSTRG.4077_498363_498334_9	ENSG00000073614.7	ENSG00000073614.7	KDM5A	,ENSG00000120647.5	,ENSG00000120647.5	,CCDC77
MSTRG.4085_861869_861946_25	ENSG00000060237.12	ENSG00000060237.12	WNK1			
MSTRG.4085_862442_862597_51	ENSG00000060237.12	ENSG00000060237.12	WNK1			
MSTRG.4087_1042224_1039140_118	ENSG00000002016.12	ENSG00000002016.12	RAD52			
MSTRG.4087_1042224_1036413_139	ENSG00000002016.12	ENSG00000002016.12	RAD52			
MSTRG.4087_1042224_1036093_99	ENSG00000002016.12	ENSG00000002016.12	RAD52			
MSTRG.4087_1058735_1058613_40	ENSG00000002016.12	ENSG00000002016.12	RAD52			
MSTRG.4087_1058638_1058597_13	ENSG00000002016.12	ENSG00000002016.12	RAD52			
MSTRG.4079_1863613_1863648_11	ENSG00000006831.9	ENSG00000006831.9	ADIPOR2			
MSTRG.4079_1800330_1863442_22	ENSG00000006831.9,ENSG00000271500.1	ENSG00000006831.9,ENSG00000271500.1	ADIPOR2,RP11-288K12.1	,	,	,
MSTRG.4128_2113597_2100372_119	ENSG00000151065.9,ENSG00000151067.16	ENSG00000151065.9,ENSG00000151067.16	DCP1B,CACNA1C	,,ENSG00000203593.3	,,ENSG00000203593.3	,,RP5-1096D14.6
MSTRG.4128_2113597_2062441_137	ENSG00000151065.9,ENSG00000151067.16	ENSG00000151065.9,ENSG00000151067.16	DCP1B,CACNA1C	,,ENSG00000203593.3	,,ENSG00000203593.3	,,RP5-1096D14.6
MSTRG.4116_2904166_2904234_22	ENSG00000004478.5	ENSG00000004478.5	FKBP4			
MSTRG.4116_2904306_2905481_51	ENSG00000004478.5	ENSG00000004478.5	FKBP4			
MSTRG.4119_2921927_2929326_56	ENSG00000258325.1,ENSG00000111203.7	ENSG00000258325.1,ENSG00000111203.7	RP4-816N1.6,ITFG2	,	,	,
MSTRG.4119_2921927_2927481_147	ENSG00000258325.1,ENSG00000111203.7	ENSG00000258325.1,ENSG00000111203.7	RP4-816N1.6,ITFG2	,	,	,
MSTRG.4122_2973850_2973511_50	ENSG00000111206.8	ENSG00000111206.8	FOXM1			
MSTRG.4122_2986302_2986111_63	ENSG00000111206.8,ENSG00000171792.6	ENSG00000111206.8,ENSG00000171792.6	FOXM1,RHNO1	,,ENSG00000078246.11	,,ENSG00000078246.11	,,TULP3
MSTRG.4124_2994451_2997087_72	ENSG00000171792.6,ENSG00000078246.11	ENSG00000171792.6,ENSG00000078246.11	RHNO1,TULP3	,	,	,
MSTRG.4124_2994451_2994678_75	ENSG00000171792.6,ENSG00000078246.11	ENSG00000171792.6,ENSG00000078246.11	RHNO1,TULP3	,	,	,
MSTRG.4124_3000114_3031454_39	ENSG00000078246.11	ENSG00000078246.11	TULP3			
MSTRG.4106_3104042_3120184_43	ENSG00000197905.4	ENSG00000197905.4	TEAD4			
MSTRG.4108_3842222_3822440_52	ENSG00000130038.5,ENSG00000222338.1	ENSG00000130038.5,ENSG00000222338.1	EFCAB4B,RNU6-174P	,	,	,
ENSG00000111224.9_3982546_3939150_67	ENSG00000111224.9,ENSG00000118976.5,ENSG00000256862.1	ENSG00000111224.9,ENSG00000118976.5,ENSG00000256862.1	PARP11,HIN1L,RP11-664D1.1	,,	,,	,,
ENSG00000047621.7_4647673_4645329_51	ENSG00000047621.7	ENSG00000047621.7	C12orf4	,ENSG00000111247.10	,ENSG00000111247.10	,RAD51AP1
MSTRG.4098_4714157_4719347_40	ENSG00000010219.9,ENSG00000272921.1	ENSG00000010219.9,ENSG00000272921.1	DYRK4,RP11-500M8.7	,	,	,
MSTRG.4098_4714157_4740499_35	ENSG00000010219.9,ENSG00000272921.1,ENSG00000111254.3	ENSG00000010219.9,ENSG00000272921.1,ENSG00000111254.3	DYRK4,RP11-500M8.7,AKAP3	,,	,,	,,
MSTRG.4098_4758293_4766933_22	ENSG00000272921.1,ENSG00000139180.6,ENSG00000255639.2	ENSG00000272921.1,ENSG00000139180.6,ENSG00000255639.2	RP11-500M8.7,NDUFA9,RP11-234B24.6	,ENSG00000111254.3,,	,ENSG00000111254.3,,	,AKAP3,,
MSTRG.4098_4791396_4835709_49	ENSG00000139180.6,ENSG00000255639.2,ENSG00000255474.1,ENSG00000130035.2	ENSG00000139180.6,ENSG00000255639.2,ENSG00000255474.1,ENSG00000130035.2	NDUFA9,RP11-234B24.6,RP11-234B24.2,GALNT8	,,,	,,,	,,,
MSTRG.4092_6309610_6309657_15	ENSG00000010278.7	ENSG00000010278.7	CD9			
MSTRG.4097_6451121_6450990_43	ENSG00000067182.3	ENSG00000067182.3	TNFRSF1A			
MSTRG.4097_6442285_6442238_15	ENSG00000067182.3	ENSG00000067182.3	TNFRSF1A			
MSTRG.4097_6450980_6442592_72	ENSG00000067182.3	ENSG00000067182.3	TNFRSF1A			
MSTRG.4114_6472978_6472862_38	ENSG00000111319.8	ENSG00000111319.8	SCNN1A			
MSTRG.4114_6472824_6464993_147	ENSG00000111319.8	ENSG00000111319.8	SCNN1A			
MSTRG.4115_6493389_6493812_96	ENSG00000111321.6	ENSG00000111321.6	LTBR			
ENSG00000139190.12_6579697_6574042_117	ENSG00000139192.7,ENSG00000139190.12	ENSG00000139192.7,ENSG00000139190.12	TAPBPL,VAMP1	,	,	,
ENSG00000139190.12_6579697_6573636_118	ENSG00000139192.7,ENSG00000139190.12	ENSG00000139192.7,ENSG00000139190.12	TAPBPL,VAMP1	,	,	,
MSTRG.4110_6602404_6602375_9	ENSG00000111639.3	ENSG00000111639.3	MRPL51	,ENSG00000010292.8	,ENSG00000010292.8	,NCAPD2
MSTRG.4110_6602363_6602307_18	ENSG00000111639.3	ENSG00000111639.3	MRPL51	,ENSG00000010292.8	,ENSG00000010292.8	,NCAPD2
MSTRG.4110_6602937_6602845_30	ENSG00000111639.3,ENSG00000010292.8	ENSG00000111639.3,ENSG00000010292.8	MRPL51,NCAPD2	,	,	,
MSTRG.4111_6602830_6602904_24	ENSG00000111639.3,ENSG00000010292.8	ENSG00000111639.3,ENSG00000010292.8	MRPL51,NCAPD2	,	,	,
MSTRG.4111_6602664_6602783_39	ENSG00000111639.3,ENSG00000010292.8	ENSG00000111639.3,ENSG00000010292.8	MRPL51,NCAPD2	,	,	,
MSTRG.4111_6603139_6604257_65	ENSG00000010292.8	ENSG00000010292.8	NCAPD2	ENSG00000111639.3,	ENSG00000111639.3,	MRPL51,
MSTRG.4111_6604265_6619837_81	ENSG00000010292.8,ENSG00000239002.2	ENSG00000010292.8,ENSG00000239002.2	NCAPD2,SCARNA10	,	,	,
MSTRG.4112_6643697_6644011_24	ENSG00000111640.10	ENSG00000111640.10	GAPDH			
MSTRG.4112_6643999_6645960_79	ENSG00000111640.10	ENSG00000111640.10	GAPDH			
MSTRG.4112_6646051_6646245_64	ENSG00000111640.10	ENSG00000111640.10	GAPDH			
MSTRG.4112_6646327_6646386_19	ENSG00000111640.10	ENSG00000111640.10	GAPDH			
MSTRG.4149_6650710_6649722_21	ENSG00000010295.15	ENSG00000010295.15	IFFO1			
MSTRG.4151_6677084_6675687_81	ENSG00000111641.6	ENSG00000111641.6	NOP2			
MSTRG.4151_6677375_6677208_55	ENSG00000111641.6	ENSG00000111641.6	NOP2			
MSTRG.4151_6677084_6676971_37	ENSG00000111641.6	ENSG00000111641.6	NOP2			
MSTRG.4147_6692485_6692456_9	ENSG00000111642.10,ENSG00000247853.2	ENSG00000111642.10,ENSG00000247853.2	CHD4,RP5-940J5.6	,	,	,
MSTRG.4147_6716508_6715493_55	ENSG00000111642.10	ENSG00000111642.10	CHD4			
MSTRG.4147_6705267_6705226_13	ENSG00000111642.10	ENSG00000111642.10	CHD4			
MSTRG.4139_6772255_6765045_43	ENSG00000111653.15	ENSG00000111653.15	ING4	,ENSG00000219410.4	,ENSG00000219410.4	,RP4-761J14.8
MSTRG.4143_6797700_6797644_18	ENSG00000126746.13	ENSG00000126746.13	ZNF384			
MSTRG.4145_6833299_6833322_7	ENSG00000111652.5	ENSG00000111652.5	COPS7A	ENSG00000270068.1,	ENSG00000270068.1,	RP4-761J14.9,
MSTRG.4145_6833506_6833580_24	ENSG00000111652.5	ENSG00000111652.5	COPS7A			
MSTRG.4145_6833823_6836890_71	ENSG00000111652.5	ENSG00000111652.5	COPS7A			
MSTRG.4145_6833506_6833794_17	ENSG00000111652.5	ENSG00000111652.5	COPS7A			
MSTRG.4140_6862188_6861508_34	ENSG00000089693.6	ENSG00000089693.6	MLF2			
MSTRG.4140_6861500_6861447_17	ENSG00000089693.6	ENSG00000089693.6	MLF2			
MSTRG.4140_6861237_6861067_56	ENSG00000089693.6	ENSG00000089693.6	MLF2			
MSTRG.4141_6875556_6879059_160	ENSG00000089693.6,ENSG00000159335.11	ENSG00000089693.6,ENSG00000159335.11	MLF2,PTMS	,	,	,
MSTRG.4141_6875556_6879106_150	ENSG00000089693.6,ENSG00000159335.11	ENSG00000089693.6,ENSG00000159335.11	MLF2,PTMS	,	,	,
MSTRG.4162_7242760_7241868_157	ENSG00000159403.11,ENSG00000139178.6	ENSG00000159403.11,ENSG00000139178.6	C1R,C1RL	,	,	,
MSTRG.4162_7254651_7254490_53	ENSG00000139178.6	ENSG00000139178.6	C1RL			
MSTRG.4162_7261776_7246402_110	ENSG00000139178.6,ENSG00000205885.3	ENSG00000139178.6,ENSG00000205885.3	C1RL,C1RL-AS1	,	,	,
ENSG00000059804.11_8088630_8083047_233	ENSG00000059804.11	ENSG00000059804.11	SLC2A3			
ENSG00000065970.4_8185631_8185792_53	ENSG00000065970.4	ENSG00000065970.4	FOXJ2			
ENSG00000089818.12_8234885_8245279_102	ENSG00000089818.12	ENSG00000089818.12	NECAP1			
MSTRG.4198_9102325_9102113_70	ENSG00000003056.3	ENSG00000003056.3	M6PR	,ENSG00000139187.5	,ENSG00000139187.5	,KLRG1
MSTRG.4198_9102125_9099388_24	ENSG00000003056.3	ENSG00000003056.3	M6PR			
MSTRG.4199_9102780_9147748_63	ENSG00000139187.5,ENSG00000257105.1	ENSG00000139187.5,ENSG00000257105.1	KLRG1,RP11-259O18.4	ENSG00000003056.3,,	ENSG00000003056.3,,	M6PR,,
ENSG00000256594.3_9806298_9808478_38	ENSG00000256594.3,ENSG00000272917.1	ENSG00000256594.3,ENSG00000272917.1	RP11-705C15.2,RP11-705C15.5	,	,	,
MSTRG.4196_10766131_10765426_81	ENSG00000111196.5	ENSG00000111196.5	MAGOHB			
MSTRG.4177_10856729_10856595_44	ENSG00000060138.8	ENSG00000060138.8	YBX3			
MSTRG.4180_12419895_12419845_16	ENSG00000070018.4	ENSG00000070018.4	LRP6			
MSTRG.4180_12419771_12419694_25	ENSG00000070018.4	ENSG00000070018.4	LRP6			
ENSG00000111266.4_12674180_12674100_26	ENSG00000111266.4	ENSG00000111266.4	DUSP16			
ENSG00000111266.4_12674032_12640057_143	ENSG00000111266.4,ENSG00000255670.1	ENSG00000111266.4,ENSG00000255670.1	DUSP16,RP11-253I19.3	,	,	,
MSTRG.4211_14720722_14720627_31	ENSG00000121316.6,ENSG00000256751.1	ENSG00000121316.6,ENSG00000256751.1	PLBD1,RP11-695J4.2	,	,	,
MSTRG.4211_14720630_14695218_40	ENSG00000121316.6,ENSG00000200830.1	ENSG00000121316.6,ENSG00000200830.1	PLBD1,RN7SKP134	,,ENSG00000256751.1	,,ENSG00000256751.1	,,RP11-695J4.2
MSTRG.4219_14956399_14956361_12	ENSG00000084463.3	ENSG00000084463.3	WBP11	,ENSG00000182993.3	,ENSG00000182993.3	,C12orf60
ENSG00000134533.2_15374294_15374133_53	ENSG00000134533.2	ENSG00000134533.2	RERG			
MSTRG.4230_15835885_15815030_200	ENSG00000151491.8,ENSG00000200105.1	ENSG00000151491.8,ENSG00000200105.1	EPS8,RNU6-251P	,	,	,
MSTRG.4235_16035553_16035651_32	ENSG00000023734.6	ENSG00000023734.6	STRAP	ENSG00000151491.8,	ENSG00000151491.8,	EPS8,
